mouse_id,cal_day,day,control_joint,trials,rewards,fll_based_rewards,flr_based_rewards,fll_totaldist,flr_totaldist,pca_dims_brain,pca_dims_behavior,pca_dims_dlc,group
GIL2_ai94,20231229100645,12,fl_l,60,47,47,42,11.157498665740302,12.4172961352318,0.0,,,grp3
GIL3_ai94,20231229104814,10,fl_l,60,48,48,42,5.300029462297429,5.748257375370465,,,,grp3
GIR2_ai94,20231229112431,10,fl_l,60,35,36,18,3.632538686434343,3.3177415834396577,,,,grp3
GER2_ai94,20231229122202,1,fl_l,60,0,31,28,3.5214200037361496,4.60241556214358,0.0,,,grp4
GER3_ai94,20231229131229,1,fl_l,60,0,24,23,3.0650163572463702,4.13064613296818,0.0,,,grp4
GIL3_ai94,20231230092314,10,fl_l,60,30,30,34,3.1771890295335,3.3967331592850094,0.0,,,grp3
GIL2_ai94,20231230100513,13,fl_l,60,38,39,29,6.5563320922288,6.88342900031577,0.0,,,grp3
GIR2_ai94,20231230105148,10,fl_l,60,26,26,18,3.2460488133827203,3.4503150870110297,0.0,,,grp3
GER3_ai94,20231230114126,2,fl_l,60,0,33,20,3.94230276673333,5.64676509542235,0.0,,,grp4
GER2_ai94,20231230122158,2,fl_l,60,0,33,21,3.2432711874328195,3.07672528071926,0.0,,,grp4
GIL2_ai94,20231231103252,10,fl_l,60,57,56,42,14.5564061542249,13.419415386961601,0.0,,,grp3
GIL3_ai94,20231231115112,10,fl_l,60,56,55,29,7.2066301331654,6.72953827153963,0.0,,,grp3
GIR2_ai94,20231231111320,10,fl_l,60,49,48,25,7.22411621761956,5.40191324709675,0.0,,,grp3
GER2_ai94,20231231130923,3,fl_l,60,0,23,15,2.37022902128903,2.85559174781768,0.0,,,grp4
GER3_ai94,20231231123237,3,fl_l,60,0,47,34,4.9237954051911395,5.84124658415128,0.0,,,grp4
GER3_ai94,20240101082945,4,fl_l,60,0,36,28,8.20108899540137,8.835735072683837,0.0,,,grp4
GER2_ai94,20240101091051,4,fl_l,60,0,34,32,2.83376878196248,4.84763153428281,0.0,,,grp4
GER3_ai94,20240102100601,5,fl_l,60,0,36,21,6.7968390712848485,8.88141787764418,0.0,,,grp4
GER2_ai94,20240102104311,5,fl_l,60,0,41,26,2.73537030233881,4.244302058137101,0.0,,,grp4
HYR3_tta,20240102112554,0,fl_l,60,0,23,24,1.80559270385826,2.07920498224198,0.0,,,grp4
HYL3_tta,20240102121010,0,fl_l,60,0,18,13,2.38752895983512,2.44325851723097,0.0,,,grp4
HYL3_tta,20240103093142,0,fl_l,60,31,32,30,6.2960682940096,7.081001438454112,0.0,,,grp4
HYR3_tta,20240103101820,0,fl_l,60,34,35,37,7.674267001814378,7.58819884558465,0.0,,,grp4
GER2_ai94,20240103113854,2,fl_l,60,41,43,45,3.7871492677790695,5.62078038256593,0.0,,,grp4
GER3_ai94,20240103110331,1,fl_l,60,42,43,42,8.37389822172137,11.2754723010405,0.0,,,grp4
GER3_ai94,20240104110220,2,fl_l,60,38,40,30,5.95897934204313,7.90020746494383,0.0,,,grp4
HYL3_tta,20240104091947,1,fl_l,60,43,44,34,7.39452028618462,7.26231696515953,0.0,,,grp4
HYR3_tta,20240104102401,1,fl_l,60,49,50,41,7.271786150195,8.66465268635792,0.0,,,grp4
GER2_ai94,20240104114909,3,fl_l,60,47,49,47,4.0886559765378,5.07349637692145,0.0,,,grp4
GER2_ai94,20240105115359,4,fl_l,60,52,53,46,4.38452312531712,6.38713856999018,0.0,,,grp4
GER3_ai94,20240105122456,3,fl_l,60,39,42,36,7.5314109605728605,9.08196878297626,0.0,,,grp4
HYL3_tta,20240105111119,2,fl_l,60,28,27,23,4.790411404031589,6.237259579830543,0.0,,,grp4
HYR3_tta,20240105102746,2,fl_l,60,34,35,26,4.6338562455156,5.37177840710097,0.0,,,grp4
GER2_ai94,20240106114021,5,fl_l,60,52,50,45,4.964764811428211,6.97305197128487,0.0,,,grp4
GER3_ai94,20240106110726,4,fl_l,60,47,46,33,6.7279623656345,7.89068539557019,0.0,,,grp4
HYL3_tta,20240106094535,2,fl_l,60,45,43,31,8.68010784293645,11.0819227465659,0.0,,,grp4
HYR3_tta,20240106102539,3,fl_l,60,47,49,38,8.18492572170039,7.707873113249098,0.0,,,grp4
HYL3_tta,20240107110319,4,fl_l,60,31,33,25,6.01697248310196,5.31884623413396,0.0,,,grp4
HYR3_tta,20240107102655,4,fl_l,60,40,42,32,6.55225464983304,6.32883032471946,0.0,,,grp4
HYL3_tta,20240108100755,3,fl_l,60,55,54,31,8.625302462245719,8.403656204777029,0.0,,,grp4
HYR3_tta,20240108104115,5,fl_l,60,18,19,34,2.63731671998925,5.43309989893445,0.0,,,grp4
GER2_ai94,20240108112524,6,fl_l,60,56,53,35,6.32015036226616,7.11162342577221,0.0,,,grp4
GER3_ai94,20240108120054,5,fl_l,60,53,52,34,10.3365629384538,11.132293262686801,0.0,,,grp4
GER2_ai94,20240109105730,6,fl_l,60,41,40,32,5.72289295080192,7.188347199741019,0.0,,,grp4
GER3_ai94,20240109113620,6,fl_l,60,49,48,36,8.15832333658139,9.06146412417761,0.0,,,grp4
HYL3_tta,20240109102912,4,fl_l,60,54,52,35,8.96604299043959,8.13379791596625,0.0,,,grp4
HYR3_tta,20240109095146,5,fl_l,60,43,43,37,4.900655753180558,6.890648201338401,0.0,,,grp4
GER2_ai94,20240110114711,7,fl_l,60,48,46,38,5.23315465299093,6.62443692715052,0.0,,,grp4
GER3_ai94,20240110122246,6,fl_l,60,49,49,43,7.78476196162774,8.55190552206427,0.0,,,grp4
HYL3_tta,20240110105525,5,fl_l,60,55,56,27,11.1226472152553,11.7639061159889,0.0,,,grp4
HYR3_tta,20240110101016,6,fl_l,60,40,42,37,4.10518134956239,7.27770280186499,0.0,,,grp4
GER2_ai94,20240111123200,8,fl_l,60,48,49,41,6.60228128916307,8.18143956581308,0.0,,,grp4
GER3_ai94,20240111115018,7,fl_l,60,42,41,28,7.239462935459138,8.84746177703625,0.0,,,grp4
HYL3_tta,20240111103938,6,fl_l,60,56,53,15,9.519420020937961,7.48467418352028,0.0,,,grp4
HYR3_tta,20240111110659,7,fl_l,60,50,50,41,7.7949282381560305,10.425953730974301,0.0,,,grp4
GER2_ai94,20240112113443,9,fl_l,60,49,47,41,4.87846441504257,6.03201887867957,0.0,,,grp4
GER3_ai94,20240112120903,8,fl_l,60,47,47,28,7.330155208213428,8.04359203215506,0.0,,,grp4
HYL3_tta,20240112101929,7,fl_l,60,55,56,19,8.74331747532636,8.18914709247356,0.0,,,grp4
HYR3_tta,20240112105207,8,fl_l,60,35,36,9,5.8039214550767815,5.60355308175025,0.0,,,grp4
GER2_ai94,20240114114243,10,fl_l,60,50,51,43,11.5564258872122,12.9899647403339,0.0,,,grp4
GER3_ai94,20240114122153,9,fl_l,60,34,35,25,5.4022597703406285,7.0842002613618495,0.0,,,grp4
HYL3_tta,20240114110004,8,fl_l,60,56,50,20,12.2604952236486,11.9143817804841,0.0,,,grp4
HYR3_tta,20240114100615,9,fl_l,60,36,37,32,7.94269326115392,9.0270828939187,0.0,,,grp4
GER2_ai94,20240115110926,11,fl_l,60,42,44,40,7.36144562299051,9.28998768698949,0.0,,,grp4
HYL3_tta,20240115103227,9,fl_l,60,53,53,28,8.6676684825144,8.849470510460787,0.0,,,grp4
GER2_ai94,20240117120826,11,fl_l,60,56,56,46,10.293189181673599,10.446494230970401,0.0,,,grp4
GER2_ai94,20240117123513,12,fl_r,60,38,34,42,14.8201538358266,17.4415231433914,0.0,,,grp4
HYL3_tta,20240117111224,10,fl_l,60,56,54,33,12.186380140299802,11.8871682700457,0.0,,,grp4
HYL3_tta,20240117113325,11,fl_r,60,43,21,43,5.2533636037688,7.03012798199667,0.0,,,grp4
GER2_ai94,20231228115304,1,fl_l,60,32,32,22,2.511619251454875,3.3192065841156637,,,,grp2
GER2_ai94,20240103113854,2,fl_l,60,41,43,45,3.7871492677790557,5.620780382565908,,,,grp2
GER2_ai94,20240104114909,3,fl_l,60,47,49,47,4.088655976537785,5.073496376921435,,,,grp2
GER2_ai94,20240105115359,4,fl_l,60,52,53,46,4.384523125317103,6.387138569990165,,,,grp2
GER2_ai94,20240106114021,5,fl_l,60,52,50,45,4.964764811428193,6.973051971284841,,,,grp2
GER2_ai94,20240108112524,6,fl_l,60,56,53,35,6.320150362266145,7.111623425772186,,,,grp2
GER2_ai94,20240110114711,7,fl_l,60,48,46,38,5.233154652990917,6.624436927150499,,,,grp2
GER2_ai94,20240111123200,8,fl_l,60,48,49,41,6.602281289163056,8.18143956581305,,,,grp2
GER2_ai94,20240112113443,9,fl_l,60,49,47,41,4.878464415042549,6.0320188786795494,,,,grp2
GER2_ai94,20240117120826,10,fl_l,60,56,56,46,10.293189181673554,10.446494230970359,,,,grp2
HYL3_tta,20240103093142,1,fl_l,60,31,32,30,6.296068294009584,7.081001438454088,,,,grp2
HYL3_tta,20240104091947,2,fl_l,60,43,44,34,7.394520286184607,7.262316965159505,,,,grp2
HYL3_tta,20240106094535,3,fl_l,60,45,43,31,8.680107842936422,11.081922746565825,,,,grp2
HYL3_tta,20240108100755,4,fl_l,60,55,54,31,8.625302462245696,8.403656204777008,,,,grp2
HYL3_tta,20240109102912,5,fl_l,60,54,52,35,8.966042990439558,8.133797915966225,,,,grp2
HYL3_tta,20240110105525,6,fl_l,60,55,56,27,11.122647215255263,11.763906115988824,,,,grp2
HYL3_tta,20240111103938,7,fl_l,60,56,53,15,9.519420020937929,7.484674183520261,,,,grp2
HYL3_tta,20240112101929,8,fl_l,60,55,56,19,8.743317475326334,8.189147092473533,,,,grp2
HYL3_tta,20240114110004,9,fl_l,60,56,50,20,12.26049522364857,11.914381780484094,,,,grp2
HYL3_tta,20240117111224,10,fl_l,60,56,54,33,12.186380140299782,11.887168270045628,,,,grp2
GER2_ai94,20231228115304,1,fl_l,60,32,32,22,2.511619251454875,3.3192065841156637,,,,grp1
GER2_ai94,20240103113854,2,fl_l,60,41,43,45,3.7871492677790557,5.620780382565908,,,,grp1
GER2_ai94,20240104114909,3,fl_l,60,47,49,47,4.088655976537785,5.073496376921435,,,,grp1
GER2_ai94,20240105115359,3,fl_l,60,52,53,46,4.38452312531712,6.38713856999018,0.0,,,grp1
GER2_ai94,20240117123513,5,fl_r,60,38,34,42,14.820153835826545,17.441523143391358,,,,grp1
HYL3_tta,20240103093142,1,fl_l,60,31,32,30,6.296068294009584,7.081001438454088,,,,grp1
HYL3_tta,20240104091947,2,fl_l,60,43,44,34,7.394520286184607,7.262316965159505,,,,grp1
HYL3_tta,20240106094535,3,fl_l,60,45,43,31,8.680107842936422,11.081922746565825,,,,grp1
HYL3_tta,20240108100755,3,fl_l,60,55,54,31,8.625302462245719,8.403656204777029,0.0,,,grp1
HYL3_tta,20240117113325,5,fl_r,60,43,21,43,5.2533636037687845,7.030127981996656,,,,grp1
GER2_ai94,20240108112524,4,fl_l,60,56,53,35,6.320150362266145,7.111623425772186,,,,grp1
HYL3_tta,20240110105525,4,fl_l,60,55,56,27,11.122647215255263,11.763906115988824,,,,grp1
GER2_ai94,20240118110355,13,fl_r,60,43,26,46,8.06157971137444,8.28639671348696,0.0,,,grp4
GER2_ai94,20240118113602,14,fl_r,60,23,32,23,12.743890009551695,14.362279775423698,0.0,,,grp4
HYL3_tta,20240118095411,12,fl_r,60,47,44,46,8.444330811906099,8.47420130043118,0.0,,,grp4
HYL3_tta,20240118102028,13,fl_r,60,25,28,27,4.05746465941288,4.10420789558318,0.0,,,grp4
GER2_ai94,20240119120432,15,fl_r,60,25,24,25,7.132770675226362,6.111615245152709,0.0,,,grp4
GER2_ai94,20240119124458,16,fl_r,60,21,23,21,15.546808111063699,16.308376708907698,0.0,,,grp4
HYL3_tta,20240119112305,13,fl_r,60,45,27,46,6.7892560340328085,7.67941457179813,0.0,,,grp4
GER2_ai94,20240120125052,17,fl_r,60,25,39,25,11.3061400360579,13.0631662596277,0.0,,,grp4
HYL3_tta,20240120113742,14,fl_r,60,51,54,51,10.5202470929587,7.56105703218542,0.0,,,grp4
HYL3_tta,20240120120309,15,fl_r,60,29,41,29,5.9355351144641615,4.74887702112346,0.0,,,grp4
GER2_ai94,20240121112930,18,fl_r,60,46,32,47,14.442032505999501,15.6753275455875,0.0,,,grp4
HYL3_tta,20240121104207,15,fl_r,60,54,50,52,12.0325350520956,10.226912058550099,0.0,,,grp4
GER2_ai94,20240122100008,19,fl_r,60,53,36,50,14.8496038142062,15.988873586740699,0.0,,,grp4
GER2_ai94,20240122103039,20,fl_r,60,44,45,44,25.6678912637954,27.0296791420012,0.0,,,grp4
GER2_ai94,20240123093727,20,fl_r,60,40,35,39,11.0525316646647,10.5260134117659,0.0,,,grp4
HYL3_tta,20240122085254,17,fl_r,60,46,50,44,8.683757380911269,6.884973679903919,0.0,,,grp4
HYL3_tta,20240122091911,18,fl_r,60,33,41,34,4.926593893541269,4.33947659291408,0.0,,,grp4
HYL3_tta,20240123101852,16,fl_r,60,48,43,51,6.6165860771851905,5.5924834787694,0.0,,,grp4
GER2_ai94,20240118110355,6,fl_r,60,43,26,46,8.061579711374412,8.286396713486932,,,,grp1
GER2_ai94,20240121112930,7,fl_r,60,46,32,47,14.442032505999437,15.67532754558743,,,,grp1
GER2_ai94,20240122100008,8,fl_r,60,53,36,50,14.84960381420615,15.988873586740658,,,,grp1
GER2_ai94,20240122103039,9,fl_r,60,44,45,44,25.667891263795287,27.029679142001108,,,,grp1
HYL3_tta,20240118095411,6,fl_r,60,47,44,46,8.444330811906074,8.474201300431151,,,,grp1
HYL3_tta,20240119112305,7,fl_r,60,45,27,46,6.7892560340327845,7.679414571798102,,,,grp1
HYL3_tta,20240120113742,8,fl_r,60,51,54,51,10.520247092958641,7.5610570321853965,,,,grp1
HYL3_tta,20240121104207,9,fl_r,60,54,50,52,12.032535052095566,10.226912058550056,,,,grp1
HYL3_tta,20240123101852,10,fl_r,60,48,43,51,6.616586077185174,5.592483478769385,,,,grp1
GER2_ai94,20240124111936,21,fl_r,60,40,38,42,9.33200331272281,9.79974052960871,0.0,,,grp4
HYL3_tta,20240124120339,17,fl_r,60,49,44,49,7.82885675531934,7.28334056878048,0.0,,,grp4
GER2_ai94,20240123093727,10,fl_r,60,40,35,39,11.052531664664672,10.526013411765904,,,,grp1
